Days for shipment (scheduled),Order Region,order month,Order Status,order hour,order day,city risk score,category risk score,Shipping Mode,Market,Order Item Total,actual_late_risk,predicted_late_risk
4,21,4,7,21,4,0.5230352303523035,0.5480694980694981,3,4,-0.05929194534351259,1,1
1,3,6,6,18,4,0.5283230510375772,0.5455669122890421,0,2,0.5155837280503843,1,1
4,3,1,7,14,4,0.5375722543352601,0.5474660586589284,3,2,0.5147506447485011,0,0
4,16,1,5,1,1,0.5806451612903226,0.5453419768373516,3,0,0.5737293598157077,1,1
4,1,4,2,7,3,0.5575,0.5515294974508376,3,2,-0.6259206787542688,0,0
4,18,8,2,23,6,0.5802469135802469,0.5474660586589284,3,4,-0.1597557698919844,1,1
4,17,8,2,10,0,0.38095238095238093,0.5492640692640692,3,1,1.1401915783626573,1,0
4,5,12,2,14,5,0.36,0.5449667654360535,3,0,0.7485829246331069,0,0
4,3,2,6,20,2,0.5533333333333333,0.5455669122890421,3,2,-0.6923133779567034,1,1
4,3,3,6,20,0,0.5368421052631579,0.5515294974508376,3,2,-0.5359532084884078,0,0
4,3,5,7,15,1,0.5283230510375772,0.5455669122890421,3,2,-0.3007881091130267,0,0
4,15,1,6,17,3,0.5669291338582677,0.5480694980694981,3,3,-0.10927389455759898,1,0
2,10,9,6,3,2,0.41935483870967744,0.5448619976625011,2,1,-0.5724400080897812,1,1
4,22,6,5,2,1,0.5806451612903226,0.5626477541371159,3,1,0.42078459022240866,0,0
2,22,7,7,10,5,0.9166666666666666,0.5455669122890421,2,1,0.45310629153277626,1,1
0,11,3,7,16,4,0.6323529411764706,0.5453419768373516,1,3,0.7236753349119374,1,1
1,15,12,6,1,3,0.554670528602462,0.5449667654360535,0,3,0.9485107214894525,1,1
2,6,4,7,6,2,0.5046082949308756,0.5480694980694981,2,4,-0.27588039193788694,1,1
4,17,8,7,2,0,0.6296296296296297,0.5492640692640692,3,1,1.1401915783626573,0,1
2,11,1,3,17,6,0.40350877192982454,0.5500945179584121,2,3,-1.431129887090854,0,1
4,17,6,2,11,3,0.7666666666666667,0.5480694980694981,3,1,0.12397520177480417,0,0
2,3,4,7,15,4,0.4482758620689655,0.5448619976625011,2,2,-0.5020487887706166,1,1
4,22,8,2,0,2,0.4423076923076923,0.5448619976625011,3,1,-0.6265871197383748,1,1
1,1,5,6,14,5,0.7391304347826086,0.5492640692640692,0,2,1.1401915783626573,1,1
4,21,6,7,19,2,0.5190615835777126,0.5497128426540671,3,4,-0.2510560596486208,0,0
4,15,1,5,17,0,0.647887323943662,0.5455669122890421,3,3,-1.2129586822701033,1,1
1,17,7,7,22,0,0.34285714285714286,0.5448619976625011,0,1,-0.6590753992230182,1,1
2,3,3,4,1,1,0.6511627906976745,0.5453419768373516,2,2,0.9485941063753262,1,1
1,15,1,6,7,2,0.5669291338582677,0.5448619976625011,0,3,-0.5182928964411876,1,1
4,3,5,0,18,2,0.3925925925925926,0.5492640692640692,3,2,1.3734406746950605,0,0
4,11,2,7,20,5,0.519280205655527,0.5453419768373516,3,3,0.9735850809823694,1,1
4,13,2,3,17,3,0.6,0.5492640692640692,3,3,1.24015547679083,1,0
4,17,7,2,10,6,1.0,0.5453419768373516,3,1,0.5237474106016213,1,1
1,6,8,2,14,1,0.5066666666666667,0.5455669122890421,0,4,0.4114546671877043,1,1
0,22,6,2,19,1,0.7,0.5480694980694981,1,1,-0.009309996129426202,1,1
1,0,9,2,6,2,0.7083333333333334,0.5608365019011406,0,4,-1.1615605930727788,1,1
4,1,2,2,9,2,0.4919614147909968,0.5492640692640692,3,2,1.3067980757429454,0,0
1,21,7,2,22,3,0.49437148217636023,0.5474660586589284,0,4,-0.33877437052295273,1,1
1,3,5,6,1,6,0.5499405469678954,0.5528726061615321,0,2,-0.5257068805764155,1,1
4,12,5,6,7,5,0.43373493975903615,0.5492640692640692,3,2,1.3067980757429454,0,0
2,3,5,6,17,0,0.4777777777777778,0.5492640692640692,2,2,1.24015547679083,1,1
4,3,3,2,22,2,0.6014492753623188,0.5448619976625011,3,2,-0.6374165678921005,0,1
4,16,10,6,22,0,0.4117647058823529,0.5515294974508376,3,0,-0.9257290527965953,0,0
4,10,8,0,9,1,0.5573770491803278,0.5448619976625011,3,1,-0.583269456243507,0,0
4,15,12,5,12,2,0.6141732283464567,0.5474660586589284,3,3,-0.4386550115192221,1,1
4,12,5,6,0,6,0.6170212765957447,0.5474660586589284,3,2,-0.9008213992651375,1,1
4,3,4,2,4,4,0.5283230510375772,0.5492640692640692,3,2,1.7732962684077516,0,0
4,17,9,2,15,1,0.55,0.5453419768373516,3,1,0.7236753349119374,0,0
4,22,10,6,12,4,0.6067415730337079,0.5455669122890421,3,1,0.24484816980741633,0,0
2,22,7,4,10,1,0.7272727272727273,0.5480694980694981,2,1,-0.15925584377168536,1,1
2,6,6,1,12,2,0.7230769230769231,0.5528726061615321,2,4,-0.5007159059693723,1,1
4,3,2,6,9,4,0.5492957746478874,0.5608365019011406,3,2,-0.7757832051543362,1,0
4,22,10,6,6,0,0.40789473684210525,0.5492640692640692,3,1,1.6233504207654923,0,0
4,3,3,1,4,0,0.5283230510375772,0.5455669122890421,3,2,0.5155837280503843,1,0
2,22,9,2,14,1,0.581888246628131,0.5480694980694981,2,1,-0.10927389455759898,1,1
1,5,1,2,15,6,0.5833333333333334,0.5455669122890421,0,0,-0.8006076012538906,1,1
2,21,8,2,7,1,0.49437148217636023,0.5492640692640692,2,4,1.2734767762668877,1,1
1,17,8,6,6,2,0.4827586206896552,0.5515294974508376,0,1,-0.8657507391471825,1,1
4,20,10,5,5,6,0.522207267833109,0.5480694980694981,3,3,-0.14259519403365656,1,0
4,13,8,6,0,6,0.5476190476190477,0.5474660586589284,3,3,-1.1756388306888683,0,0
1,3,3,6,3,4,0.6885245901639344,0.5474660586589284,0,2,-0.2762969340053447,1,1
2,22,11,6,20,2,0.7333333333333333,0.5522041763341067,2,1,0.39162845318085826,0,1
4,7,11,2,7,5,0.4,0.5480694980694981,3,3,0.05733260282268898,0,0
4,18,4,2,4,5,0.5421686746987951,0.5448619976625011,3,4,-0.6265871197383748,1,0
2,18,6,2,20,3,0.5942857142857143,0.5497128426540671,2,4,-0.685815734555262,1,1
1,22,9,6,10,2,0.33962264150943394,0.5480694980694981,0,1,-0.009309996129426202,1,1
4,11,12,2,19,2,0.5398671096345515,0.5448619976625011,3,3,-0.7132225112048247,0,0
4,22,9,8,2,1,0.5638297872340425,0.5449667654360535,3,1,2.6394001550355686,0,0
1,11,1,5,17,2,0.5483870967741935,0.5474660586589284,0,3,-0.7259678980914205,1,1
1,17,8,1,17,6,0.41627906976744183,0.5448619976625011,0,1,-0.6374165678921005,1,1
4,14,6,5,23,3,0.5707964601769911,0.5497128426540671,3,4,0.0738266102429407,0,1
1,8,1,2,13,5,0.8604651162790697,0.5474660586589284,0,1,-0.7676195224364925,1,1
2,1,5,2,1,6,0.723404255319149,0.5528726061615321,2,2,-1.3358309740880656,1,1
4,11,12,7,17,0,0.626890756302521,0.5522041763341067,3,3,0.4759314274906625,0,0
4,11,1,3,23,5,0.5398671096345515,0.5500945179584121,3,3,-1.4532052527670183,1,0
4,17,8,2,0,5,0.64,0.5497128426540671,3,1,0.8733712828045161,1,0
4,3,2,1,11,3,0.5379061371841155,0.5448619976625011,3,2,-0.5182928964411876,1,1
4,2,12,5,8,3,0.5317919075144508,0.5492640692640692,3,0,1.7732962684077516,0,0
4,7,12,6,12,2,0.5947955390334573,0.5449667654360535,3,3,1.889754047635238,0,0
2,2,8,2,18,3,0.5,0.5497128426540671,2,0,0.8483803081974729,1,1
4,14,5,5,23,2,0.5142857142857142,0.5453419768373516,3,4,0.7236753349119374,0,1
1,11,1,2,0,3,0.5664939550949913,0.5448619976625011,0,3,-0.7132225112048247,1,1
4,11,1,1,0,6,0.42857142857142855,0.5449667654360535,3,3,1.7731294994690363,0,0
2,4,1,7,20,1,0.9090909090909091,0.5497128426540671,2,3,0.29366387853803566,1,1
4,3,2,6,2,0,0.6744186046511628,0.5453419768373516,3,2,0.5737293598157077,1,1
1,20,11,6,9,0,0.5573770491803278,0.5480694980694981,0,3,-0.05929194534351259,1,1
4,13,3,6,20,2,1.0,0.5497128426540671,3,3,0.7235085659732222,1,1
4,1,2,2,4,0,0.477112676056338,0.5448619976625011,3,2,-0.5724400080897812,0,0
2,12,1,5,10,5,0.6470588235294118,0.5448619976625011,2,2,-0.48580461695654414,1,1
4,22,6,6,23,1,0.55,0.5474660586589284,3,1,-0.7926104970435356,1,0
4,7,11,6,2,4,0.4375,0.5626477541371159,3,3,0.013265112624809,1,1
4,15,12,7,3,0,0.5073170731707317,0.5455669122890421,3,3,0.12405845920670756,0,0
2,19,9,2,2,1,0.5830258302583026,0.5492640692640692,2,0,0.9736682109603025,1,1
4,18,8,2,7,0,0.550063371356147,0.5480694980694981,3,4,-0.05929194534351259,0,0
4,17,8,5,17,5,0.484375,0.5474660586589284,3,1,-0.8258484754440079,0,0
1,10,7,6,10,2,0.44155844155844154,0.5448619976625011,0,1,-0.5724400080897812,1,1
